City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,la plata,-34.9215,-57.9545,16.13,99,100,3.09,AR,1717826464
283,sao felix do xingu,-6.6447,-51.995,21.72,83,29,0.85,BR,1717826465
284,cestos city,5.46,-9.5828,25.39,88,72,2.01,LR,1717826465
285,santiago de cao,-7.9589,-79.2392,16.07,94,100,4.12,PE,1717826465
286,saipan,15.1355,145.701,32.39,62,40,5.66,MP,1717826465
287,cabo san lucas,22.8909,-109.9124,27.01,70,2,4.84,MX,1717826408
288,walvis bay,-22.9575,14.5053,20.61,32,2,8.69,NA,1717826466
289,vilhena,-12.7406,-60.1458,18.87,62,0,1.68,BR,1717826466
290,karachi,24.9056,67.0822,34.9,43,40,4.12,PK,1717826442
291,broken hill,-31.95,141.4333,14.9,45,79,5.65,AU,1717826466
292,balykshi,47.0667,51.8667,27.0,41,0,8.0,KZ,1717826466
293,magadan,59.5667,150.8,4.74,97,100,4.45,RU,1717826467
294,kurumkan,54.3,110.3,20.07,35,24,1.79,RU,1717826467
295,beipiao,41.7919,120.7792,30.13,22,1,0.86,CN,1717826467
296,rockport,28.0206,-97.0544,29.03,81,20,4.63,US,1717826467
297,brisas de zicatela,15.8369,-97.0419,27.47,74,100,1.84,MX,1717826468
298,lamu,-2.2717,40.902,26.97,76,99,6.76,KE,1717826468
299,luwingu,-10.2621,29.9271,16.94,54,2,2.51,ZM,1717826468
300,vilyuysk,63.7553,121.6247,24.44,37,45,3.58,RU,1717826468
301,codrington,-38.2667,141.9667,13.92,67,100,1.09,AU,1717826468
302,vorkuta,67.5,64.0,-1.05,93,100,0.89,RU,1717826468
303,quellon,-43.1167,-73.6167,10.62,96,100,1.01,CL,1717826469
304,bikenibeu village,1.3673,173.1241,29.98,79,75,2.06,KI,1717826469
305,saint-francois,46.4154,3.9054,17.6,77,0,1.03,FR,1717826469
306,kapa'a,22.0752,-159.319,27.99,87,13,4.7,US,1717826469
307,kingori,-3.2833,36.9833,18.21,88,75,0.0,TZ,1717826469
308,alvaraes,-3.2208,-64.8042,23.25,99,91,1.12,BR,1717826470
309,irtyshsk,53.3333,75.4572,19.72,72,49,7.42,KZ,1717826470
310,ghanzi,-21.5667,21.7833,5.39,58,0,3.6,BW,1717826470
311,san patricio,28.017,-97.5169,28.94,79,0,4.54,US,1717826470
312,borovskoy,53.8,64.15,22.5,66,73,2.15,KZ,1717826470
313,terra santa,-2.1042,-56.4869,24.0,95,100,1.46,BR,1717826470
314,beinamar,8.6698,15.3813,25.32,73,94,2.25,TD,1717826471
315,keflavik,64.0049,-22.5624,6.95,81,75,6.69,IS,1717826471
316,parauapebas,-6.0675,-49.9022,23.44,78,77,0.69,BR,1717826471
317,saint-pierre,-21.3393,55.4781,25.82,53,0,1.03,RE,1717826471
318,bel ombre,-4.6167,55.4167,27.91,78,75,2.57,SC,1717826471
319,llallagua,-18.4167,-66.6333,4.16,33,6,1.3,BO,1717826471
320,nantucket,41.2835,-70.0995,17.78,89,59,3.49,US,1717826472
321,lerwick,60.1545,-1.1494,7.0,85,100,7.02,GB,1717826472
322,margate,51.3813,1.3862,12.95,86,13,3.13,GB,1717826472
323,labrador city,52.9463,-66.9114,14.54,69,0,1.54,CA,1717826472
324,wagar,16.1525,36.2032,37.97,18,1,6.02,SD,1717826472
325,la ronge,55.1001,-105.2842,6.14,81,75,3.6,CA,1717826472
326,sinabang,2.4803,96.3801,30.58,61,76,1.45,ID,1717826473
327,nemuro,43.3236,145.575,12.25,94,90,6.79,JP,1717826473
328,fegyvernek,47.2667,20.5333,23.34,71,73,1.81,HU,1717826473
329,anadyr,64.75,177.4833,4.28,64,75,4.0,RU,1717826473
330,polyarnyy,69.1989,33.4478,10.72,58,90,6.41,RU,1717826473
331,itaituba,-4.2761,-55.9836,24.04,88,53,1.28,BR,1717826473
332,urangan,-25.3,152.9,20.11,63,0,2.68,AU,1717826474
